iter,Ru,Rv,Rc_mass,Rc_div,dt,poisson_iters,poisson_relative_residual,poisson_converged
1,0.0173840043537,0.00350049875443,4.11856393511e-05,0.664283177094,0.00196850393701,2500,0.000475012991626,0
2,0.0166907553114,0.00526150162909,6.63544377259e-05,1.07023072608,0.00196850393701,2500,0.000554381378216,0
3,0.0160433134175,0.00622625527808,8.19400758423e-05,1.32161148326,0.00196850393701,2500,0.000598320823297,0
4,0.0154390060236,0.00675712094135,9.14018094305e-05,1.4742197843,0.00196850393701,2500,0.00062114667104,0
5,0.0148726987894,0.00702362838971,9.67910551874e-05,1.56114292912,0.00196850393701,2500,0.000630132900534,0
6,0.01433979393,0.00715862938907,9.9406326382e-05,1.60332463822,0.00196850393701,2500,0.000629254459676,0
7,0.0138366936938,0.00719771249477,0.000100107827097,1.61463914325,0.00196850393701,2500,0.00062085053375,0
8,0.0133604873338,0.00717402763594,9.94842905869e-05,1.60458212288,0.00196850393701,2500,0.00060638581998,0
9,0.0129086698228,0.00710895685881,9.79482641279e-05,1.57980755212,0.00196850393701,2500,0.000586832915476,0
10,0.0124792154106,0.00701659180287,9.57937455319e-05,1.54505732168,0.00196850393701,2500,0.000562880864941,0
11,0.0120704833053,0.00690643584816,9.32326763941e-05,1.50374983756,0.00196850393701,2500,0.000535055882876,0
12,0.0116810383647,0.00678500573908,9.04189199343e-05,1.45836675962,0.00196850393701,2500,0.000503793684691,0
13,0.0113094846744,0.00665682122238,8.7464502266e-05,1.41071495705,0.00196850393701,2500,0.000469483296343,0
14,0.01095466027,0.00652503785589,8.44508942051e-05,1.36210847263,0.00196850393701,2500,0.000432493227079,0
15,0.0106155292055,0.00639186334468,8.14370142519e-05,1.31349760287,0.00196850393701,2500,0.000393186369684,0
16,0.0102911984117,0.00625883806208,7.84650058025e-05,1.26556207859,0.00196850393701,2500,0.000351927536446,0
17,0.00998079990415,0.00612702787065,7.55644686339e-05,1.2187793146,0.00196850393701,2500,0.000309086127082,0
18,0.00968351643063,0.00599715888787,7.27555955955e-05,1.17347500136,0.00196850393701,2500,0.000265035581251,0
19,0.00939859920036,0.00586971298402,7.00515205906e-05,1.12986097561,0.00196850393701,2500,0.00022015075003,0
