iter,Ru,Rv,Rc_mass,Rc_div,dt,poisson_iters,poisson_relative_residual,poisson_converged
1,0.0134222192593,0.00273366749055,6.48438243843e-05,0.257365138981,0.0025,325,7.32291065508e-05,1
2,0.0129321655042,0.00413353167408,0.000104728369468,0.415666898419,0.0025,325,6.82192926432e-05,1
3,0.0124974203867,0.00492360050392,0.000129502365187,0.513994887429,0.0025,325,6.54124914945e-05,1
4,0.0120990591605,0.00538197409927,0.000144485803866,0.573464155544,0.0025,300,9.85774858209e-05,1
5,0.0117265528074,0.00563918659765,0.000152858236624,0.606694341159,0.0025,300,9.6379690867e-05,1
6,0.0113765239232,0.00578286749613,0.000156661025106,0.621787608646,0.0025,300,9.42298469852e-05,1
7,0.0110453735814,0.00584755273882,0.00015726698222,0.624192652431,0.0025,300,9.20929892335e-05,1
8,0.0107309588632,0.00585843218486,0.000155631597824,0.617701811762,0.0025,300,8.98535817238e-05,1
9,0.0104316466273,0.00583238367467,0.000152436404123,0.605020087966,0.0025,300,8.74334211915e-05,1
10,0.0101459601996,0.00578080057769,0.000148175999116,0.588110540493,0.0025,300,8.47784896649e-05,1
11,0.00987279765165,0.00571158537049,0.000143213517059,0.568414449206,0.0025,300,8.18506089854e-05,1
12,0.00961122559649,0.00563033245766,0.000137817420166,0.546997340638,0.0025,300,7.86228105935e-05,1
13,0.00936043641328,0.00554106243021,0.000132186713211,0.524649064734,0.0025,300,7.50767479083e-05,1
14,0.00911977831472,0.00544669543835,0.000126468699462,0.501954268164,0.0025,300,7.12012393111e-05,1
15,0.00888871101244,0.00534936627958,0.000120771770003,0.479343155143,0.0025,300,6.69914463652e-05,1
16,0.00866684314597,0.00525058878612,0.000115175834529,0.457132887245,0.0025,275,9.71441357494e-05,1
17,0.00845262778687,0.005151646437,0.000109735430849,0.435539925041,0.0025,275,8.98753842185e-05,1
18,0.00824661437248,0.00505326433189,0.000104490178577,0.414721518771,0.0025,275,8.18001760226e-05,1
19,0.0080480628878,0.00495606057947,9.94660951159e-05,0.394780931515,0.0025,275,7.32433603864e-05,1
