iter,Ru,Rv,Rc_mass,Rc_div,dt,poisson_iters,poisson_relative_residual,poisson_converged
1,0.0134222192593,0.00273366749055,6.48438243843e-05,0.257365138981,0.0025,325,7.32291065508e-05,1
2,0.0129333098539,0.00413230077419,0.000104927387673,0.416456801674,0.0025,325,6.7899417971e-05,1
3,0.0125004679914,0.00492219921284,0.000130160404524,0.516606645554,0.0025,325,6.46746671782e-05,1
4,0.0121044135202,0.00538267635878,0.000145863711384,0.578933070482,0.0025,300,9.66678452102e-05,1
5,0.0117343808139,0.00564481538937,0.000155190556637,0.615951319292,0.0025,300,9.36139481866e-05,1
6,0.0113868039844,0.00579265673687,0.000160144419365,0.63561320046,0.0025,300,9.05472058299e-05,1
7,0.011057968954,0.0058654505603,0.000162056650387,0.643202845384,0.0025,300,8.74541913244e-05,1
8,0.0107457666693,0.00588622497679,0.000161841860039,0.642350342493,0.0025,300,8.42438206648e-05,1
9,0.0104483026089,0.00587153250248,0.000160143429365,0.635609271148,0.0025,300,8.08635358702e-05,1
10,0.0101641726521,0.00583243189486,0.00015742156558,0.624806193786,0.0025,300,7.72861582838e-05,1
11,0.00989226057478,0.00577650095496,0.000154009174722,0.611262414471,0.0025,300,7.35013266832e-05,1
12,0.00963163604725,0.00570903029306,0.000150148696721,0.595940177286,0.0025,300,6.95104166278e-05,1
13,0.00938152005061,0.00563376346181,0.000146017161345,0.579542113377,0.0025,300,6.53233781351e-05,1
14,0.00914182121372,0.00555330689152,0.000141745010318,0.56258594595,0.0025,275,9.48402725472e-05,1
15,0.00891043446635,0.00546975486442,0.000137423624435,0.545434365383,0.0025,275,8.80939199378e-05,1
16,0.0086880651517,0.00538434465429,0.000133120899558,0.528356850345,0.0025,275,8.08362981714e-05,1
17,0.0084738417892,0.00529808402196,0.000128884489488,0.511542538779,0.0025,275,7.33958413623e-05,1
18,0.00826730230856,0.00521168026867,0.000124747150299,0.495121439536,0.0025,275,6.58302753111e-05,1
19,0.00806834755995,0.00512558619154,0.000120731434492,0.479183063497,0.0025,250,9.0830292873e-05,1
20,0.00787571825951,0.00504026105837,0.000116849128951,0.463774192805,0.0025,250,7.92842475111e-05,1
21,0.0076900129746,0.00495583956001,0.000113107970509,0.448925534952,0.0025,250,6.72958433601e-05,1
22,0.00751080147698,0.004872454751,0.000109511506592,0.434651169665,0.0025,225,8.6822948276e-05,1
23,0.00733700240479,0.00479028258697,0.000106058080788,0.420944522646,0.0025,225,6.89731302553e-05,1
24,0.00716932335536,0.0047092836942,0.000102745770242,0.40779796209,0.0025,200,8.0003522647e-05,1
25,0.00700680633102,0.00462953484291,9.95697100898e-05,0.395192179346,0.0025,175,8.36125786177e-05,1
26,0.00684934151365,0.00455104136043,9.65239383776e-05,0.383103511421,0.0025,150,6.5123033806e-05,1
27,0.00669679052609,0.00447373644219,9.36026418101e-05,0.371508885344,0.0025,150,7.2166648128e-05,1
28,0.0065495326357,0.00439751083722,9.08014929379e-05,0.360391125471,0.0025,175,7.62855798725e-05,1
29,0.00640675437057,0.00432245408902,8.81139016757e-05,0.349724075751,0.0025,200,6.44520354576e-05,1
30,0.00626805498367,0.00424858823207,8.55324011983e-05,0.339478100356,0.0025,200,7.90552136194e-05,1
31,0.00613368508138,0.00417579927803,8.30513547363e-05,0.329630826948,0.0025,200,9.95232210564e-05,1
32,0.00600364962642,0.00410401750187,8.06662345019e-05,0.320164284738,0.0025,225,7.66211453823e-05,1
33,0.00587695836672,0.00403335814933,7.83701150373e-05,0.311050986583,0.0025,225,8.86799785566e-05,1
34,0.00575442632403,0.00396366280098,7.61590578634e-05,0.30227530066,0.0025,250,6.41666697279e-05,1
35,0.00563508138776,0.00389502059243,7.40272825818e-05,0.293814284567,0.0025,250,7.08836372847e-05,1
36,0.00551936280262,0.00382734768572,7.19707073526e-05,0.285651737483,0.0025,250,7.75343402664e-05,1
37,0.00540698292993,0.00376065318861,6.99863994457e-05,0.2777760194,0.0025,250,8.37618821456e-05,1
38,0.00529781173289,0.00369497210141,6.80730508135e-05,0.270181938679,0.0025,250,8.95563654145e-05,1
39,0.00519172930676,0.00363032823501,6.62271515041e-05,0.26285556432,0.0025,250,9.49205953675e-05,1
40,0.00508862623934,0.00356670686752,6.44449865058e-05,0.255782151441,0.0025,250,9.98652489692e-05,1
41,0.00498858180175,0.00350406090877,6.27236462859e-05,0.248950152109,0.0025,275,6.69309493777e-05,1
42,0.00489097110188,0.00344241866571,6.10586464694e-05,0.242341767837,0.0025,275,6.9262839927e-05,1
43,0.00479619851141,0.00338166633842,5.94470636389e-05,0.235945395583,0.0025,275,7.16456142612e-05,1
44,0.00470403519541,0.00332178693929,5.78869587726e-05,0.229753339369,0.0025,275,7.38161706039e-05,1
45,0.00461438324664,0.00326279915878,5.63764365536e-05,0.223758076681,0.0025,275,7.57724475888e-05,1
46,0.00452715467241,0.00320471794918,5.49135805964e-05,0.217952001387,0.0025,275,7.75223035368e-05,1
47,0.00444226787393,0.00314755149673,5.34964945966e-05,0.212327587054,0.0025,275,7.90753450295e-05,1
48,0.00435966310478,0.00309130278898,5.21233400996e-05,0.206877536855,0.0025,275,8.04417622741e-05,1
49,0.00427925552122,0.00303597131552,5.07923588089e-05,0.201594872113,0.0025,275,8.16319527679e-05,1
