iter,Ru,Rv,Rc_mass,Rc_div,dt,poisson_iters,poisson_relative_residual,poisson_converged
1,0.0173840043537,0.00350049875443,4.11856393511e-05,0.664283177094,0.00196850393701,2500,0.000475012991626,0
2,0.0166913735575,0.00525926510255,6.6553514806e-05,1.07344164031,0.00196850393701,2500,0.000550778076996,0
3,0.0160452484964,0.00622436880318,8.25940184516e-05,1.33215892361,0.00196850393701,2500,0.000588839788969,0
4,0.0154427630201,0.00676035303818,9.27616069756e-05,1.49615195891,0.00196850393701,2500,0.000604002376195,0
5,0.0148785189056,0.00703758225979,9.90759273483e-05,1.5979956322,0.00196850393701,2500,0.000604079680416,0
6,0.0143477182466,0.00717922798682,0.000102793085837,1.65794968146,0.00196850393701,2500,0.000593582539429,0
7,0.0138466461752,0.00723355422623,0.000104728464466,1.68916540337,0.00196850393701,2500,0.00057536150931,0
8,0.0133722299022,0.00722802672214,0.000105427752001,1.70044421202,0.00196850393701,2500,0.000551358051059,0
9,0.0129218889336,0.00718336180418,0.000105264291287,1.69780775417,0.00196850393701,2500,0.000522979886708,0
10,0.0124935973185,0.00711298907773,0.000104497612455,1.68544199129,0.00196850393701,2500,0.00049130325394,0
11,0.0120857509475,0.00702578501781,0.000103310175608,1.66628982238,0.00196850393701,2500,0.000457187641036,0
12,0.0116967740656,0.00692769207559,0.000101831240742,1.64243608193,0.00196850393701,2500,0.000421342750119,0
13,0.011325353819,0.00682271720573,0.000100152809956,1.61536467177,0.00196850393701,2500,0.000384368108466,0
14,0.0109703625576,0.00671356837178,9.8340515856e-05,1.58613418024,0.00196850393701,2500,0.000346776704733,0
15,0.0106308502529,0.00660207083342,9.644119308e-05,1.55550000319,0.00196850393701,2500,0.000309009372489,0
16,0.0103058554456,0.00648944623887,9.44882194192e-05,1.52400049101,0.00196850393701,2500,0.000271443968429,0
17,0.00999455210561,0.00637650076558,9.25053239649e-05,1.49201837023,0.00196850393701,2500,0.000234401695108,0
18,0.00969619049907,0.00626375906891,9.05093269335e-05,1.45982493411,0.00196850393701,2500,0.00019815224597,0
19,0.00941005743747,0.0061515531437,8.8512116714e-05,1.42761193048,0.00196850393701,2500,0.000162918059875,0
20,0.00913551296068,0.00604008653987,8.65220779174e-05,1.39551459473,0.00196850393701,2500,0.000128878602058,0
21,0.0088724212712,0.00592945986756,8.45452474636e-05,1.36363029634,0.00196850393701,2425,9.95500531878e-05,1
22,0.00862219480954,0.00581970228407,8.25864443708e-05,1.33203676126,0.00196850393701,1700,9.89751796709e-05,1
23,0.00837752296714,0.005710979681,8.06478437247e-05,1.30076907143,0.00196850393701,1125,9.84302342707e-05,1
24,0.00814038340501,0.00560329179138,7.87313165177e-05,1.26985740411,0.00196850393701,525,9.74403125435e-05,1
25,0.00791053049636,0.00549684374837,7.68368821948e-05,1.23930207292,0.00196850393701,275,9.70821301271e-05,1
26,0.00769779495274,0.00539068394898,7.49706310377e-05,1.20920130801,0.00196850393701,1400,9.92813697943e-05,1
27,0.00749357993722,0.00528585684223,7.31365866574e-05,1.1796200062,0.00196850393701,2000,9.92655109011e-05,1
28,0.00729564873376,0.00518231603218,7.13347372022e-05,1.15055797633,0.00196850393701,2450,9.99717335958e-05,1
29,0.00710153202717,0.00506662917647,6.96064105543e-05,1.12268179583,0.00196850393701,2500,0.00011425568516,0
30,0.00691497999349,0.00493361126158,6.80002390428e-05,1.09677585552,0.00196850393701,2500,0.000130510450564,0
31,0.00673562148126,0.00480888113817,6.64757851243e-05,1.07218793827,0.00196850393701,2500,0.000146161863058,0
32,0.00656290106425,0.0046897524608,6.50102585069e-05,1.04855045946,0.00196850393701,2500,0.000160598449237,0
33,0.00639643974002,0.00457481233677,6.35902369355e-05,1.02564693153,0.00196850393701,2500,0.000173675664844,0
34,0.00623593477988,0.00446327154401,6.22075617289e-05,1.00334576312,0.00196850393701,2500,0.000185393672728,0
35,0.00608111202467,0.00435467047579,6.08571448231e-05,0.981564888851,0.00196850393701,2500,0.000195803480449,0
36,0.00593172380096,0.00424873286542,5.9535738332e-05,0.960251923557,0.00196850393701,2500,0.000204975255045,0
37,0.00578753755333,0.00414528807185,5.82412187133e-05,0.939372616626,0.00196850393701,2500,0.000212986144429,0
38,0.00564833320184,0.00404422766645,5.69721585962e-05,0.918903945999,0.00196850393701,2500,0.000219914984675,0
39,0.00551390167832,0.00394548021287,5.57275651538e-05,0.898829898365,0.00196850393701,2500,0.000225839772053,0
40,0.00538404402917,0.00384899616656,5.4506717655e-05,0.879138849058,0.00196850393701,2500,0.000230836368511,0
41,0.00525857729695,0.00375473863008,5.33090654517e-05,0.85982191667,0.00196850393701,2500,0.000234977818672,0
42,0.00513731826186,0.00366267761125,5.21341634761e-05,0.840871922706,0.00196850393701,2500,0.000238333974736,0
43,0.00502009042269,0.00357278644006,5.09816313749e-05,0.822282732445,0.00196850393701,2500,0.000240984624311,0
44,0.00490673015083,0.00348503953333,4.98511277452e-05,0.804048839403,0.00196850393701,2500,0.000242995385724,0
45,0.0047970852907,0.00341765773273,4.87423339311e-05,0.786165103975,0.00196850393701,2500,0.000244419932553,0
46,0.00469100301446,0.00338142153716,4.76551978703e-05,0.76863068645,0.00196850393701,2500,0.000245308202157,0
47,0.00458833819435,0.00334489974153,4.65932914582e-05,0.751503197929,0.00196850393701,2500,0.000245707797702,0
48,0.00448895818783,0.00330851540523,4.55554170231e-05,0.734763321166,0.00196850393701,2500,0.000245661874929,0
49,0.00439273059835,0.00327223671038,4.45395541073e-05,0.718378468197,0.00196850393701,2500,0.000245206379917,0
50,0.00429952792805,0.00323595751228,4.35438442375e-05,0.702318663707,0.00196850393701,2500,0.000244376566772,0
51,0.00420923001884,0.00319959146582,4.25668476347e-05,0.6865606855,0.00196850393701,2500,0.00024321674789,0
52,0.00412172349212,0.0031630847751,4.16075423772e-05,0.671088051002,0.00196850393701,2500,0.000241771533615,0
53,0.00403690083649,0.00312641105705,4.06652481543e-05,0.655889787481,0.00196850393701,2500,0.000240082563279,0
54,0.00395465974407,0.00308956404127,3.97395401243e-05,0.640959042665,0.00196850393701,2500,0.000238187577509,0
55,0.00387490264112,0.003052551578,3.88301739408e-05,0.626291875492,0.00196850393701,2500,0.000236120369917,0
56,0.00379753629874,0.00301539098258,3.79370265358e-05,0.611886300997,0.00196850393701,2500,0.000233911122222,0
57,0.00372247162645,0.00297810654708,3.70600516668e-05,0.597741573333,0.00196850393701,2500,0.000231586680282,0
58,0.0036496233487,0.00294072672075,3.61992474937e-05,0.583857662825,0.00196850393701,2500,0.000229170961807,0
59,0.0035789098451,0.0029032827717,3.53546335196e-05,0.570234884038,0.00196850393701,2500,0.000226685325495,0
60,0.00351025609274,0.00286580750454,3.45262345271e-05,0.556873636688,0.00196850393701,2500,0.000224148813505,0
61,0.00344358664466,0.00282833421511,3.37140696594e-05,0.543774229537,0.00196850393701,2500,0.000221578459768,0
62,0.00337882745662,0.002790895733,3.29181452023e-05,0.530936763968,0.00196850393701,2500,0.000218989556057,0
63,0.00331590976766,0.00275352625724,3.21384502074e-05,0.518361063395,0.00196850393701,2500,0.000216395571002,0
64,0.00325477106013,0.00271625830726,3.1374953822e-05,0.506046630195,0.00196850393701,2500,0.000213808525076,0
65,0.00319749822564,0.00267912334462,3.06276041478e-05,0.4939926273,0.00196850393701,2500,0.000211239181583,0
66,0.00314392266228,0.00264215160804,2.98963279696e-05,0.482197873821,0.00196850393701,2500,0.000208697097916,0
67,0.00309176170656,0.00260537208322,2.91810311273e-05,0.470660851052,0.00196850393701,2500,0.00020619056396,0
